Formula_dcg,Na,Cr,Se,Fe,P,O,Cu,Sb,W,V,C,Mn,Ni,H,S,Mo,Co,Si,As,Re,Ti,Nb,Te,F,Ge,B,N,Sc,Sn,Nd,Ag,Hf,Cl,Pr,Ta
NaV2O4,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaTi2O4,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na3CuPCO7,Na,,,,1012.0,1314.0,745.5,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
Na2TiPCO7,Na,,,,1012.0,1314.0,,,,,1086.0,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na3MnBPO7,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,800.7,,,,,,,,,
Na2NiCSO7,Na,,,,,1314.0,,,,,1086.0,,736.7,,999.6,,,,,,,,,,,,,,,,,,,,
Na3Ni,Na,,,,,,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaV4(CuO4)3,Na,,,,,1314.0,745.5,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na2Cu5(Si2O7)2,Na,,,,,1314.0,745.5,,,,,,,,,,,786.5,,,,,,,,,,,,,,,,,
Na(FeSb3)4,Na,,,759.4,,,,833.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na3CrPCO7,Na,652.9,,,1012.0,1314.0,,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
Na6Mn2C4SO16,Na,,,,,1314.0,,,,,1086.0,717.4,,,999.6,,,,,,,,,,,,,,,,,,,,
Na6Co2P(CO4)4,Na,,,,1012.0,1314.0,,,,,1086.0,,,,,,758.0,,,,,,,,,,,,,,,,,,
Na6Cr2As(CO4)4,Na,652.9,,,,1314.0,,,,,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na3MnBAsO7,Na,,,,,1314.0,,,,,,717.4,,,,,,,947.0,,,,,,,800.7,,,,,,,,,
Na3CuBSO7,Na,,,,,1314.0,745.5,,,,,,,,999.6,,,,,,,,,,,800.7,,,,,,,,,
NaTi3Nb(CuO4)3,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,658.0,664.0,,,,,,,,,,,,,
Na3NiAsCO7,Na,,,,,1314.0,,,,,1086.0,,736.7,,,,,,947.0,,,,,,,,,,,,,,,,
Na6Fe2P(CO4)4,Na,,,759.4,1012.0,1314.0,,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
Na3CoPCO7,Na,,,,1012.0,1314.0,,,,,1086.0,,,,,,758.0,,,,,,,,,,,,,,,,,,
Na3NiPCO7,Na,,,,1012.0,1314.0,,,,,1086.0,,736.7,,,,,,,,,,,,,,,,,,,,,,
Na3CrSiCO7,Na,652.9,,,,1314.0,,,,,1086.0,,,,,,,786.5,,,,,,,,,,,,,,,,,
Na3MnAsCO7,Na,,,,,1314.0,,,,,1086.0,717.4,,,,,,,947.0,,,,,,,,,,,,,,,,
Na3CoSiCO7,Na,,,,,1314.0,,,,,1086.0,,,,,,758.0,786.5,,,,,,,,,,,,,,,,,
Na3CoBAsO7,Na,,,,,1314.0,,,,,,,,,,,758.0,,947.0,,,,,,,800.7,,,,,,,,,
Na2FeCSO7,Na,,,759.4,,1314.0,,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na3FeAsCO7,Na,,,759.4,,1314.0,,,,,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na2CrAsCO7,Na,652.9,,,,1314.0,,,,,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na3FeSiCO7,Na,,,759.4,,1314.0,,,,,1086.0,,,,,,,786.5,,,,,,,,,,,,,,,,,
Na3VAsCO7,Na,,,,,1314.0,,,,650.0,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na3FeBAsO7,Na,,,759.4,,1314.0,,,,,,,,,,,,,947.0,,,,,,,800.7,,,,,,,,,
Na6Co2As(CO4)4,Na,,,,,1314.0,,,,,1086.0,,,,,,758.0,,947.0,,,,,,,,,,,,,,,,
Na2MnCSO7,Na,,,,,1314.0,,,,,1086.0,717.4,,,999.6,,,,,,,,,,,,,,,,,,,,
Na2VCSO7,Na,,,,,1314.0,,,,650.0,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na3MnSiCO7,Na,,,,,1314.0,,,,,1086.0,717.4,,,,,,786.5,,,,,,,,,,,,,,,,,
Na2CoCSO7,Na,,,,,1314.0,,,,,1086.0,,,,999.6,,758.0,,,,,,,,,,,,,,,,,,
Na3CuAsCO7,Na,,,,,1314.0,745.5,,,,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na6Fe2As(CO4)4,Na,,,759.4,,1314.0,,,,,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na2Ti3Cr(PO4)6,Na,652.9,,,1012.0,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na3CuCSO7,Na,,,,,1314.0,745.5,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na5Mn2P2(CO7)2,Na,,,,1012.0,1314.0,,,,,1086.0,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na3CoAsCO7,Na,,,,,1314.0,,,,,1086.0,,,,,,758.0,,947.0,,,,,,,,,,,,,,,,
Na2CrCSO7,Na,652.9,,,,1314.0,,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na3MnBSO7,Na,,,,,1314.0,,,,,,717.4,,,999.6,,,,,,,,,,,800.7,,,,,,,,,
Na5Ti3O8,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
NaFe(SiO3)2,Na,,,759.4,,1314.0,,,,,,,,,,,,786.5,,,,,,,,,,,,,,,,,
NaMnPO4,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaVP2O7,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na6Ni2C4SO16,Na,,,,,1314.0,,,,,1086.0,,736.7,,999.6,,,,,,,,,,,,,,,,,,,,
NaFePO4,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaFeP2O7,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na5Ni2P2(CO7)2,Na,,,,1012.0,1314.0,,,,,1086.0,,736.7,,,,,,,,,,,,,,,,,,,,,,
Na2V6O15,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na6Mn3(PO4)4,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na6Co2C4SO16,Na,,,,,1314.0,,,,,1086.0,,,,999.6,,758.0,,,,,,,,,,,,,,,,,,
Na(Cu3O4)2,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na6Cr2C4SO16,Na,652.9,,,,1314.0,,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na6Cu2C4SO16,Na,,,,,1314.0,745.5,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na(CrS2)2,Na,652.9,,,,,,,,,,,,,999.6,,,,,,,,,,,,,,,,,,,,
NaV(GeO3)2,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,762.2,,,,,,,,,,
Na6Ni2As(CO4)4,Na,,,,,1314.0,,,,,1086.0,,736.7,,,,,,947.0,,,,,,,,,,,,,,,,
NaV2O4,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na6V2C4SO16,Na,,,,,1314.0,,,,650.0,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na6Mn2As(CO4)4,Na,,,,,1314.0,,,,,1086.0,717.4,,,,,,,947.0,,,,,,,,,,,,,,,,
NaV6O11,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na9Mn21O40,Na,,,,,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaMn(SiO3)2,Na,,,,,1314.0,,,,,,717.4,,,,,,786.5,,,,,,,,,,,,,,,,,
NaTi(SiO3)2,Na,,,,,1314.0,,,,,,,,,,,,786.5,,,658.0,,,,,,,,,,,,,,
NaTiP2O7,Na,,,,1012.0,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na6Cr2P(CO4)4,Na,652.9,,,1012.0,1314.0,,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
Na3Co,Na,,,,,,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
Na3Mo4P5O24,Na,,,,1012.0,1314.0,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
NaMo3P3O16,Na,,,,1012.0,1314.0,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
Na(FeO2)2,Na,,,759.4,,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2CoP2O7,Na,,,,1012.0,1314.0,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
NaCr2O4,Na,652.9,,,,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaNbSe2,Na,,941.0,,,,,,,,,,,,,,,,,,,664.0,,,,,,,,,,,,,
NaTiS2,Na,,,,,,,,,,,,,,999.6,,,,,,658.0,,,,,,,,,,,,,,
NaMnO2,Na,,,,,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na2V6O13,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaNi(PO3)3,Na,,,,1012.0,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaNdNb4O12,Na,,,,,1314.0,,,,,,,,,,,,,,,,664.0,,,,,,,,529.6,,,,,
NaCr3O8,Na,652.9,,,,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaTi4(CuO4)3,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na4Ni7(PO4)6,Na,,,,1012.0,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
Na3Ti2(PO4)3,Na,,,,1012.0,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
NaMn2P2O9,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaCr2O4,Na,652.9,,,,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na3Ti6O13,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
NaMnO2,Na,,,,,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaVS2,Na,,,,,,,,,650.0,,,,,999.6,,,,,,,,,,,,,,,,,,,,
NaCuPO4,Na,,,,1012.0,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCrO2,Na,652.9,,,,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCr2P2O9,Na,652.9,,,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na6Mn2P(CO4)4,Na,,,,1012.0,1314.0,,,,,1086.0,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaTiF3,Na,,,,,,,,,,,,,,,,,,,,658.0,,,1681.0,,,,,,,,,,,
Na3CrF6,Na,652.9,,,,,,,,,,,,,,,,,,,,,,1681.0,,,,,,,,,,,
Na2TiAgF6,Na,,,,,,,,,,,,,,,,,,,,658.0,,,1681.0,,,,,,,731.0,,,,
Na2CuO2,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaMnF3,Na,,,,,,,,,,,717.4,,,,,,,,,,,,1681.0,,,,,,,,,,,
NaNbS2,Na,,,,,,,,,,,,,,999.6,,,,,,,664.0,,,,,,,,,,,,,
NaV(NF3)2,Na,,,,,,,,,650.0,,,,,,,,,,,,,,1681.0,,,1402.0,,,,,,,,
Na5Fe2P2(CO7)2,Na,,,759.4,1012.0,1314.0,,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
NaCoO2,Na,,,,,1314.0,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
Na11Ti8(PO4)12,Na,,,,1012.0,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na5Fe2P2(CO7)2,Na,,,759.4,1012.0,1314.0,,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
Na3VSiCO7,Na,,,,,1314.0,,,,650.0,1086.0,,,,,,,786.5,,,,,,,,,,,,,,,,,
Na5Mn2P2(CO7)2,Na,,,,1012.0,1314.0,,,,,1086.0,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na2(NbS2)3,Na,,,,,,,,,,,,,,999.6,,,,,,,664.0,,,,,,,,,,,,,
Na(Nb3S4)2,Na,,,,,,,,,,,,,,999.6,,,,,,,664.0,,,,,,,,,,,,,
NaTiO2,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
NaMnP2O7,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na2MnPO4F,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,1681.0,,,,,,,,,,,
NaMnO2,Na,,,,,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaV2O5,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaCrO3,Na,652.9,,,,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na4Fe3P4O15,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaVPO5,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaCuSe,Na,,941.0,,,,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2CuP2O7,Na,,,,1012.0,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaMn3Ag(PO4)3,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,731.0,,,,
Na2Mn3(PO4)3,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaHf3(NCl)3,Na,,,,,,,,,,,,,,,,,,,,,,,,,,1402.0,,,,,680.0,1251.0,,
NaVCu3Se4,Na,,941.0,,,,745.5,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaMo2P2O9,Na,,,,1012.0,1314.0,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
NaVS2,Na,,,,,,,,,650.0,,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na7Cr4P9O32,Na,652.9,,,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na7Fe4P9O32,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPrNb4O12,Na,,,,,1314.0,,,,,,,,,,,,,,,,664.0,,,,,,,,,,,,523.2,
Na3Fe,Na,,,759.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na3Mo15Se19,Na,,941.0,,,,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
NaMnO2,Na,,,,,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na(V3S4)2,Na,,,,,,,,,650.0,,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na6Ni2P(CO4)4,Na,,,,1012.0,1314.0,,,,,1086.0,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaNi2P2O9,Na,,,,1012.0,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaMoP2O7,Na,,,,1012.0,1314.0,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
NaTaWO7,Na,,,,,1314.0,,,770.0,,,,,,,,,,,,,,,,,,,,,,,,,,761.0
Na2VF5,Na,,,,,,,,,650.0,,,,,,,,,,,,,,1681.0,,,,,,,,,,,
NaMo2(PO4)3,Na,,,,1012.0,1314.0,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
NaNb4(PO4)6,Na,,,,1012.0,1314.0,,,,,,,,,,,,,,,,664.0,,,,,,,,,,,,,
NaMo(PO4)2,Na,,,,1012.0,1314.0,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
NaTiS2,Na,,,,,,,,,,,,,,999.6,,,,,,658.0,,,,,,,,,,,,,,
Na17(Mo15S19)4,Na,,,,,,,,,,,,,,999.6,685.0,,,,,,,,,,,,,,,,,,,
NaFeCuS2,Na,,,759.4,,,745.5,,,,,,,,999.6,,,,,,,,,,,,,,,,,,,,
NaCr4O8,Na,652.9,,,,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCrS2,Na,652.9,,,,,,,,,,,,,999.6,,,,,,,,,,,,,,,,,,,,
NaV2O5,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaV3O6,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na5V36O88,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na4V3O8,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
